duration,timestamp,x,value_old,value
240,2011-12-28 6:31,3,0.0029,0.0029
301,2011-12-28 6:36,1,0.1281,0.1281
0,2011-12-28 6:36,3,0.0078,0.0078
480,2011-12-28 6:44,3,0.009,0.009
61,2011-12-28 6:45,3,0.0028,0.0028
0,2011-12-28 6:45,1,0.0768,0.0768
1682,2011-12-28 7:13,3,0.0063,0.0063
0,2011-12-28 7:13,1,0.083,0.083
420,2011-12-28 7:20,3,0.0129,0.0129
1,2011-12-28 7:20,1,0.083,0.083
61,2011-12-28 7:21,1,0.2334,0.2334
60,2011-12-28 7:22,3,0.1006,0.1006
0,2011-12-28 7:22,1,1.4259,1.4259
60,2011-12-28 7:23,3,0.0054,0.0054
0,2011-12-28 7:23,1,0.0747,0.0747
60,2011-12-28 7:24,3,0.1973,0.1973
0,2011-12-28 7:24,1,0.083,0.083
361,2011-12-28 7:30,3,0.0277,0.0277
0,2011-12-28 7:30,1,0.0747,0.0747
360,2011-12-28 7:36,3,0.1372,0.1372
0,2011-12-28 7:36,1,0.346,0.346
180,2011-12-28 7:39,1,0.4532,0.4532
60,2011-12-28 7:40,1,0.0747,0.0747
0,2011-12-28 7:40,3,0.0156,0.0156
61,2011-12-28 7:42,1,0.0768,0.0768
0,2011-12-28 7:42,3,0.0221,0.0221
125,2011-12-27 2:58,3,0.0062,0.0062
0,2011-12-27 2:58,1,0.0747,0.0747
2283,2011-12-27 3:36,3,0.0047,0.0047
0,2011-12-27 3:36,1,0.0747,0.0747
181,2011-12-27 3:39,3,0.0029,0.0029
1502,2011-12-27 4:04,1,0.081,0.081
0,2011-12-27 4:04,3,0.0048,0.0048
1562,2011-12-27 4:30,3,0.0094,0.0094
1,2011-12-27 4:30,1,0.0747,0.0747
60,2011-12-27 4:31,3,0.0038,0.0038
0,2011-12-27 4:31,1,0.0747,0.0747
421,2011-12-27 4:38,3,0.0185,0.0185
0,2011-12-27 4:38,1,0.081,0.081
60,2011-12-27 4:39,3,0.0308,0.0308
0,2011-12-27 4:39,1,0.0747,0.0747
1022,2011-12-27 4:56,1,0.083,0.083
0,2011-12-27 4:56,3,0.0168,0.0168
120,2011-12-27 4:58,1,0.0924,0.0924
0,2011-12-27 4:58,3,0.0084,0.0084
60,2011-12-27 4:59,3,0.0056,0.0056
60,2011-12-27 5:00,3,0.0035,0.0035
121,2011-12-27 5:02,3,0.0045,0.0045
1201,2011-12-27 5:22,3,0.0077,0.0077
301,2011-12-27 5:27,1,0.0747,0.0747
0,2011-12-27 5:27,3,0.0228,0.0228
61,2011-12-27 5:28,3,0.0043,0.0043
360,2011-12-27 5:34,3,0.0643,0.0643
0,2011-12-27 5:34,1,0.0789,0.0789
61,2011-12-27 5:35,3,0.117,0.117
0,2011-12-27 5:35,1,0.116,0.116
60,2011-12-27 5:36,3,0.0088,0.0088
0,2011-12-27 5:36,1,0.0887,0.0887
301,2011-12-27 5:41,3,0.0062,0.0062
0,2011-12-27 5:41,1,0.0924,0.0924
